21 Oct 2018 14:58:38,894 main - To get higher rendering speed on java 8 oder 9,
21 Oct 2018 14:58:38,895 main -   use the option -Dsun.java2d.cmm=sun.java2d.cmm.kcms.KcmsServiceProvider
21 Oct 2018 14:58:38,895 main -   or call System.setProperty("sun.java2d.cmm", "sun.java2d.cmm.kcms.KcmsServiceProvider")
21 Oct 2018 14:58:38,951 main - parsed=COSObject{7, 0}
21 Oct 2018 14:58:38,952 main - parsed=COSObject{8, 0}
21 Oct 2018 14:58:38,952 main - parsed=COSObject{9, 0}
21 Oct 2018 14:58:38,953 main - parsed=COSObject{10, 0}
21 Oct 2018 14:58:38,953 main - parsed=COSObject{11, 0}
21 Oct 2018 14:58:38,953 main - parsed=COSObject{12, 0}
21 Oct 2018 14:58:38,953 main - parsed=COSObject{13, 0}
21 Oct 2018 14:58:38,955 main - parsed=COSObject{14, 0}
21 Oct 2018 14:58:38,956 main - parsed=COSObject{15, 0}
21 Oct 2018 14:58:38,956 main - parsed=COSObject{16, 0}
21 Oct 2018 14:58:38,956 main - parsed=COSObject{17, 0}
21 Oct 2018 14:58:38,956 main - parsed=COSObject{18, 0}
21 Oct 2018 14:58:38,956 main - parsed=COSObject{19, 0}
21 Oct 2018 14:58:38,956 main - parsed=COSObject{20, 0}
21 Oct 2018 14:58:38,957 main - parsed=COSObject{21, 0}
21 Oct 2018 14:58:38,957 main - parsed=COSObject{22, 0}
21 Oct 2018 14:58:38,957 main - parsed=COSObject{23, 0}
21 Oct 2018 14:58:38,957 main - parsed=COSObject{24, 0}
21 Oct 2018 14:58:38,957 main - parsed=COSObject{25, 0}
21 Oct 2018 14:58:38,957 main - parsed=COSObject{26, 0}
21 Oct 2018 14:58:38,957 main - parsed=COSObject{27, 0}
21 Oct 2018 14:58:38,958 main - parsed=COSObject{28, 0}
21 Oct 2018 14:58:38,958 main - parsed=COSObject{29, 0}
21 Oct 2018 14:58:38,958 main - parsed=COSObject{30, 0}
21 Oct 2018 14:58:38,958 main - parsed=COSObject{31, 0}
21 Oct 2018 14:58:38,958 main - parsed=COSObject{32, 0}
21 Oct 2018 14:58:38,958 main - parsed=COSObject{33, 0}
21 Oct 2018 14:58:38,958 main - parsed=COSObject{34, 0}
21 Oct 2018 14:58:38,959 main - parsed=COSObject{35, 0}
21 Oct 2018 14:58:38,959 main - parsed=COSObject{36, 0}
21 Oct 2018 14:58:39,295 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,297 Finalizer - ScratchFileBuffer not closed!
21 Oct 2018 14:58:39,434 main - Type 4 GSUB lookup table is not supported and will be ignored
21 Oct 2018 14:58:39,434 main - Type 4 GSUB lookup table is not supported and will be ignored
21 Oct 2018 14:58:39,434 main - Type 6 GSUB lookup table is not supported and will be ignored
21 Oct 2018 14:58:39,434 main - Type 4 GSUB lookup table is not supported and will be ignored
21 Oct 2018 14:58:39,434 main - Type 4 GSUB lookup table is not supported and will be ignored
21 Oct 2018 14:58:39,439 main - checkFontfile check /usr/share/fonts/cMap/Identity-UTF16-H
21 Oct 2018 14:58:39,439 main - checkFontfile check /usr/share/fonts/cmap/Identity-H
